0,"Independent"
1,"Citizens for European Development of Bulgaria"
2,"Forza Italia"
3,"Lega"
4,"Partit Laburista"
5,"VOX"
6,"Partido Socialista Obrero Español"
7,"Vihreä liitto"
8,"Partido Socialista"
9,"Union of Democratic Forces"
10,"Régions et Peuples Solidaires"
11,"Movement for Rights and Freedoms"
12,"Centerpartiet"
13,"Partido Social Democrata"
14,"Gods kalpot Rīgai"
15,"Alternative für Deutschland"
16,"Bündnis 90/Die Grünen"
17,"Fianna Fáil Party"
18,"Parti socialiste"
19,"Rassemblement national"
20,"PASOK-KINAL"
21,"Parti ouvrier socialiste luxembourgeois"
22,"Vlaams Belang"
23,"Eesti Reformierakond"
24,"Demokratikus Koalíció"
25,"Parti Socialiste"
26,"Partido Popular"
27,"Christlich Soziale Partei"
28,"Platforma Obywatelska"
29,"Coalition of the Radical Left"
30,"Nea Demokratia"
31,"La France Insoumise"
32,"Socialistisk Folkeparti"
33,"Lietuvos Respublikos liberalų sąjūdis"
34,"Partidul Social Democrat"
35,"Volkspartij voor Vrijheid en Democratie"
36,"Nowa Lewica"
37,"Sozialdemokratische Partei Deutschlands"
38,"Partito Democratico"
39,"Partidul Mișcarea Populară"
40,"Ciudadanos – Partido de la Ciudadanía"
41,"Reconquête!"
42,"Freie Demokratische Partei"
43,"Movimento 5 Stelle"
44,"Les Républicains"
45,"SMER-Sociálna demokracia"
46,"Christlich Demokratische Union Deutschlands"
47,"Christen Democratisch Appèl"
48,"Bündnis Deutschland"
49,"Arbetarepartiet- Socialdemokraterna"
50,"Fratelli d'Italia"
51,"Österreichische Volkspartei"
52,"Partia Republikańska"
53,"La République en marche"
54,"Partido Nacionalista Vasco"
55,"Slovakia – Demokrati"
56,"Europe Écologie"
57,"Vänsterpartiet"
58,"Partidul Naţional Liberal"
59,"Svoboda a přímá demokracie"
60,"Lietuvos socialdemokratų partija"
61,"Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
62,"Volt"
63,"Slovenska ljudska stranka"
64,"Socijaldemokratska partija Hrvatske"
65,"Parti du Travail de Belgique"
66,"Uniunea Salvați România"
67,"Nieuw-Vlaamse Alliantie"
68,"Horizons"
69,"Piratenpartei Deutschland"
70,"Socialni demokrati"
71,"Ecologistes Confédérés pour l'Organisation de Luttes Originales"
72,"Prawo i Sprawiedliwość"
73,"Mouvement Démocrate"
74,"Liste Renaissance"
75,"Partit Nazzjonalista"
76,"Partij van de Arbeid"
77,"ANO 2011"
78,"Mouvement Réformateur"
79,"Venstre"
80,"Sojusz Lewicy Demokratycznej - Unia Pracy"
81,"Reînnoim Proiectul European al României"
82,"Fine Gael Party"
83,"Les centristes"
84,"Junts per Catalunya - Lliures per Europa"
85,"PRO Romania"
86,"Momentum"
87,"Green Party"
88,"ChristenUnie"
89,"Miljöpartiet de gröna"
90,"Independents for change"
91,"Azione - Italia Viva"
92,"Liste L'Europe Ensemble"
93,"DIE LINKE."
94,"Christlich-Soziale Union in Bayern e.V."
95,"Südtiroler Volkspartei"
96,"VMRO"
97,"GroenLinks"
98,"Freie Wähler"
99,"Istarski demokratski sabor - Dieta democratica istriana"
100,"Democratic Rally"
101,"Elliniki Lusi-Greek Solution"
102,"Christen-Democratisch & Vlaams"
103,"Socialdemokratiet"
104,"NEOS – Das Neue Österreich"
105,"Progressive Party of Working People - Left - New Forces"
106,"Familien-Partei Deutschlands"
107,"Hrvatska demokratska zajednica"
108,"Place publique"
109,"Parti démocratique"
110,"Forum voor Democratie"
111,"Partidul Umanist Social Liberal"
112,"PIRÁTI"
113,"Gibanje Svoboda"
114,"Independente"
115,"Bloco de Esquerda"
116,"Jobbik – Konzervatívok"
117,"Freiheitliche Partei Österreichs"
118,"Perussuomalaiset"
119,"Parti chrétien social luxembourgeois"
120,"Renaissance"
121,"Partij voor de Dieren"
122,"Sozialdemokratische Partei Österreichs"
123,"Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti"
124,"Polskie Stronnictwo Ludowe"
125,"Progresívne Slovensko"
126,"Kereszténydemokrata Néppárt"
127,"JA21"
128,"Bulgarian Socialist Party"
129,"Attīstībai/Par!"
130,"Hrvatski suverenisti"
131,"Democraten 66"
132,"Solidarna Polska Zbigniewa Ziobro"
133,"Tėvynės sąjunga-Lietuvos krikščionys demokratai"
134,"Sloboda a Solidarita"
135,"Sotsiaaldemokraatlik Erakond"
136,"Partija ""VIENOTĪBA"""
137,"Democrats for Strong Bulgaria"
138,"Liberalerna"
139,"Suomen Keskusta"
140,"Agir - La Droite constructive"
141,"Moderaterna"
142,"-"
143,"Komunistická strana Čech a Moravy"
144,"Nouvelle Donne"
145,"Kristdemokraterna"
146,"Kresťanskodemokratické hnutie"
147,"Partit dels Socialistes de Catalunya"
148,"Sverigedemokraterna"
149,"Les Engagés"
150,"Sinn Féin"
151,"Eesti Konservatiivne Rahvaerakond"
152,"Groen"
153,"Gauche républicaine et socialiste"
154,"Democratic Party"
155,"Partido do Centro Democrático Social-Partido Popular"
156,"Déi Gréng - Les Verts"
157,"Deutsche Zentrumspartei"
158,"Bloque Nacionalista Galego"
159,"Vasemmistoliitto"
160,"Independiente"
161,"FRATELLI D' ITALIA"
162,"TOP 09 a Starostové"
163,"Communist Party of Greece"
164,"Nova Slovenija – Krščanski demokrati"
165,"Delegación Ciudadanos Europeos"
166,"Movement for Social Democracy EDEK"
167,"Partido Comunista Português"
168,"Det Radikale Venstre"
169,"Kansallinen Kokoomus"
170,"Izquierda Unida"
171,"Indépendant"
172,"Starostové a nezávisli"
173,"Obyčajní ľudia a nezávislé osobnosti"
174,"Slovak PATRIOT"
175,"Esquerra Republicana de Catalunya"
176,"Ökologisch-Demokratische Partei"
177,"Mouvement Radical Social-Libéral"
178,"PODEMOS"
179,"Meer Directe Democratie"
180,"Lietuvos valstiečių ir žaliųjų sąjunga"
181,"Staatkundig Gereformeerde Partij"
182,"Indépendent"
183,"KLJUČ Hrvatske"
184,"Křesťanská a demokratická unie - Československá strana lidová"
185,"Die PARTEI"
